Current fleet,New Fleet
18,24
15,27
18,27
16,25
17,31
15,35
14,24
14,19
14,28
15,23
15,27
14,20
15,22
14,18
22,20
18,31
21,32
21,31
10,32
10,24
11,26
9,29
28,24
25,24
19,33
16,33
17,32
19,28
18,19
14,32
14,34
14,26
14,30
12,22
13,22
13,33
18,39
22,36
19,28
18,27
23,21
26,24
25,30
20,34
21,32
13,38
14,37
15,30
14,31
17,37
11,32
13,47
12,41
13,45
15,34
13,33
13,24
14,32
22,39
28,35
13,32
14,37
13,38
14,34
15,34
12,32
13,33
13,32
14,25
13,24
12,37
13,31
18,36
16,36
18,34
18,38
23,32
11,38
12,32
13,0
12,0
18,0
21,0
19,0
21,0
15,0
16,0
15,0
11,0
20,0
21,0
19,0
15,0
26,0
25,0
16,0
16,0
18,0
16,0
13,0
14,0
14,0
14,0
28,0
19,0
18,0
15,0
15,0
16,0
15,0
16,0
14,0
17,0
16,0
15,0
18,0
21,0
20,0
13,0
23,0
20,0
23,0
18,0
19,0
25,0
26,0
18,0
16,0
16,0
15,0
22,0
22,0
24,0
23,0
29,0
25,0
20,0
18,0
19,0
18,0
27,0
13,0
17,0
13,0
13,0
13,0
30,0
26,0
18,0
17,0
16,0
15,0
18,0
21,0
19,0
19,0
16,0
16,0
16,0
16,0
25,0
26,0
31,0
34,0
36,0
20,0
19,0
20,0
19,0
21,0
20,0
25,0
21,0
19,0
21,0
21,0
19,0
18,0
19,0
18,0
18,0
18,0
30,0
31,0
23,0
24,0
22,0
20,0
22,0
20,0
21,0
17,0
18,0
17,0
18,0
17,0
16,0
19,0
19,0
36,0
27,0
23,0
24,0
34,0
35,0
28,0
29,0
27,0
34,0
32,0
28,0
26,0
24,0
19,0
28,0
24,0
27,0
27,0
26,0
24,0
30,0
39,0
35,0
34,0
30,0
22,0
27,0
20,0
18,0
28,0
27,0
34,0
31,0
29,0
27,0
24,0
23,0
38,0
36,0
25,0
38,0
26,0
22,0
36,0
27,0
27,0
32,0
28,0
31,0
